"","County","Reporting_Date","Total","UNA","DEM","REP","Total_Third_Party","GRE","LIB","RFP","CON","NAT","CNV","SSP"
"98","Hunterdon",2020-04-01,101155,36294,25125,38921,815,143,284,5,132,50,147,54
"99","Mercer",2020-04-01,247536,96578,109116,38047,3795,545,703,63,855,360,834,435
"100","Middlesex",2020-04-01,538278,222717,226134,82369,7058,989,1400,194,1703,637,1417,718
"101","Monmouth",2020-04-01,467670,201088,130734,130110,5738,924,1350,136,1169,554,1141,464
"102","Morris",2020-04-01,372137,136557,102578,129291,3711,617,1015,71,739,285,700,284
"103","Ocean",2020-04-01,420676,180508,89521,145083,5564,838,1249,131,1238,478,1110,520
"104","Passaic",2020-04-01,317345,124953,123916,63192,5284,649,997,152,1000,517,1414,555
"105","Salem",2020-04-01,47648,20023,14623,12285,717,87,165,6,77,47,249,86
"106","Somerset",2020-04-01,246206,98663,82230,62759,2554,389,726,47,527,187,461,217
"107","Sussex",2020-04-01,109109,39636,22844,44939,1690,300,461,27,292,145,348,117
"108","Union",2020-04-01,356887,128909,169223,53796,4959,614,968,147,1203,503,1003,521
"109","Warren",2020-04-01,81487,29832,19737,30903,1015,147,289,19,210,78,201,71
"110","Grand Total",2020-04-01,6166324,2401457,2340478,1346137,78252,11359,17029,1987,17121,7002,16203,7551
"111","Atlantic",2020-05-01,193792,75463,65623,49870,2836,431,577,94,651,245,530,308
"112","Bergen",2020-05-01,644242,263470,237010,137005,6757,1101,1588,170,1447,555,1362,534
"113","Burlington",2020-05-01,328442,121176,122809,80774,3683,556,908,69,735,332,731,352
"114","Camden",2020-05-01,376003,140630,174058,56124,5191,750,1023,132,1155,495,1102,534
"115","Cape May",2020-05-01,72801,25602,17134,29274,791,107,196,9,178,55,168,78
"116","Cumberland",2020-05-01,91637,39884,30790,19050,1913,186,318,60,546,222,346,235
"117","Essex",2020-05-01,544600,204315,280742,54357,5186,701,885,173,1332,523,1022,550
"118","Gloucester",2020-05-01,219483,82778,84050,49921,2734,403,692,73,500,194,608,264
"119","Hudson",2020-05-01,390199,133059,212582,38273,6285,880,1263,210,1428,536,1311,657
"120","Hunterdon",2020-05-01,101225,36331,25195,38883,816,142,285,5,133,50,147,54
"121","Mercer",2020-05-01,247472,96541,109118,38025,3788,542,702,63,854,360,833,434
"122","Middlesex",2020-05-01,543092,223912,228189,83589,7402,1035,1470,202,1807,664,1466,758
"123","Monmouth",2020-05-01,467503,201090,130661,130018,5734,923,1349,138,1166,554,1143,461
"124","Morris",2020-05-01,372819,136811,102960,129303,3745,619,1021,72,740,289,715,289
"125","Ocean",2020-05-01,421324,180735,89664,145318,5607,849,1261,134,1237,482,1123,521
"126","Passaic",2020-05-01,317393,125037,123934,63149,5273,647,996,153,1002,516,1407,552
"127","Salem",2020-05-01,47667,20022,14621,12307,717,87,166,6,76,46,249,87
"128","Somerset",2020-05-01,246524,98892,82378,62704,2550,392,726,48,529,185,455,215
"129","Sussex",2020-05-01,109272,39689,22902,44997,1684,299,460,27,292,144,345,117
"130","Union",2020-05-01,357241,129261,169259,53759,4962,614,973,147,1198,500,1003,527
"131","Warren",2020-05-01,81595,29860,19777,30940,1018,147,293,19,210,78,200,71
"132","Grand Total",2020-05-01,6174326,2404558,2343456,1347640,78672,11411,17152,2004,17216,7025,16266,7598
"133","Atlantic",2020-06-01,193818,75559,65580,49852,2827,431,580,94,649,243,526,304
"134","Bergen",2020-06-01,643863,263480,236861,136800,6722,1096,1585,168,1438,557,1346,532
"135","Burlington",2020-06-01,328812,121425,122888,80812,3687,550,914,70,735,334,727,357
"136","Camden",2020-06-01,376014,140716,174006,56118,5174,740,1033,131,1151,492,1098,529
"137","Cape May",2020-06-01,72889,25651,17139,29306,793,108,197,8,178,55,168,79
"138","Cumberland",2020-06-01,91782,39903,30810,19155,1914,187,322,58,541,221,351,234
"139","Essex",2020-06-01,544235,204289,280530,54250,5166,698,884,173,1324,522,1017,548
"140","Gloucester",2020-06-01,219589,82831,84074,49959,2725,401,692,74,496,195,607,260
"141","Hudson",2020-06-01,390477,133309,212580,38324,6264,874,1263,207,1426,536,1305,653
"142","Hunterdon",2020-06-01,101278,36405,25170,38876,827,142,288,5,134,52,151,55
"143","Mercer",2020-06-01,247507,96627,109106,37990,3784,540,711,62,851,359,831,430
"144","Middlesex",2020-06-01,545377,224892,228909,84052,7524,1056,1508,205,1835,670,1484,766
"145","Monmouth",2020-06-01,467629,201448,130446,130028,5707,916,1358,132,1158,551,1137,455
"146","Morris",2020-06-01,372948,136998,103087,129123,3740,616,1030,71,738,289,709,287
"147","Ocean",2020-06-01,421314,180765,89540,145415,5594,846,1257,133,1237,484,1118,519
"148","Passaic",2020-06-01,317120,125046,123747,63065,5262,642,999,152,1004,515,1398,552
"149","Salem",2020-06-01,47704,20035,14599,12351,719,87,167,6,78,45,248,88
"150","Somerset",2020-06-01,246341,98916,82307,62568,2550,394,732,48,525,182,455,214
"151","Sussex",2020-06-01,109216,39727,22879,44932,1678,298,459,27,291,142,345,116
"152","Union",2020-06-01,357591,129658,169262,53732,4939,610,973,144,1186,497,1008,521
"153","Warren",2020-06-01,81637,29890,19795,30938,1014,147,292,19,209,78,200,69
"154","Grand Total",2020-06-01,6177141,2407570,2343315,1347646,78610,11379,17244,1987,17184,7019,16229,7568
"155","Atlantic",2020-07-01,194771,70464,69918,51600,2789,430,571,93,637,239,516,303
"156","Bergen",2020-07-01,645445,252421,246562,139767,6695,1089,1589,167,1430,552,1334,534
"157","Burlington",2020-07-01,329605,115075,127991,82839,3700,551,930,68,733,333,730,355
"158","Camden",2020-07-01,376904,135215,178914,57623,5152,739,1031,128,1145,490,1092,527
"159","Cape May",2020-07-01,72968,25721,17117,29335,795,110,198,8,178,54,167,80
"160","Cumberland",2020-07-01,91985,39179,31398,19516,1892,187,320,57,535,218,345,230
"161","Essex",2020-07-01,545224,204965,280844,54243,5172,703,887,172,1322,521,1019,548
"162","Gloucester",2020-07-01,220046,77764,87560,51994,2728,402,696,74,495,196,605,260
"163","Hudson",2020-07-01,392637,128569,218560,39281,6227,867,1262,203,1423,528,1292,652
"164","Hunterdon",2020-07-01,101456,33226,27315,40088,827,143,289,5,132,51,151,56
"165","Mercer",2020-07-01,248483,95850,110591,38273,3769,542,711,62,849,360,821,424
"166","Middlesex",2020-07-01,546561,226009,229000,84044,7508,1050,1508,206,1834,669,1478,763
"167","Monmouth",2020-07-01,469162,194790,135747,132935,5690,913,1374,133,1149,541,1130,450
"168","Morris",2020-07-01,374011,136755,104243,129288,3725,616,1034,70,733,288,699,285
"169","Ocean",2020-07-01,422390,166879,97311,152622,5578,842,1259,133,1231,482,1113,518
"170","Passaic",2020-07-01,317560,125381,123882,63043,5254,643,999,152,1002,515,1391,552
"171","Salem",2020-07-01,47806,19826,14647,12612,721,86,171,6,76,47,249,86
"172","Somerset",2020-07-01,247098,98276,83468,62810,2544,392,737,48,516,184,452,215
"173","Sussex",2020-07-01,109484,37000,24603,46196,1685,296,460,28,291,144,349,117
"174","Union",2020-07-01,358557,128755,170894,53996,4912,604,971,144,1179,493,1004,517
"175","Warren",2020-07-01,81837,27717,21126,31973,1021,151,301,19,206,78,197,69
"176","Grand Total",2020-07-01,6193990,2339837,2401691,1374078,78384,11356,17298,1976,17096,6983,16134,7541
"177","Atlantic",2020-08-01,195965,69466,71142,52513,2844,441,581,91,653,242,527,309
"178","Bergen",2020-08-01,649369,247247,253191,142159,6772,1102,1605,168,1450,561,1346,540
"179","Burlington",2020-08-01,331767,112964,130899,84173,3731,558,951,68,738,333,727,356
"180","Camden",2020-08-01,376429,134908,178834,57545,5142,737,1032,128,1143,487,1089,526
"181","Cape May",2020-08-01,72873,23638,18240,30203,792,109,197,8,178,54,166,80
"182","Cumberland",2020-08-01,91725,36923,32667,20249,1886,186,319,57,534,218,343,229
"183","Essex",2020-08-01,547263,205878,281782,54396,5207,698,894,177,1320,531,1025,562
"184","Gloucester",2020-08-01,219937,76930,87924,52376,2707,398,687,73,492,194,605,258
"185","Hudson",2020-08-01,393976,125447,222292,39977,6260,873,1264,203,1430,534,1305,651
"186","Hunterdon",2020-08-01,102354,33156,27823,40557,818,141,279,6,133,52,150,57
"187","Mercer",2020-08-01,249564,96317,111016,38411,3820,545,729,63,855,366,832,430
"188","Middlesex",2020-08-01,545795,224058,229982,84258,7497,1047,1503,206,1834,668,1476,763
"189","Monmouth",2020-08-01,471952,193753,137942,134490,5767,925,1388,131,1169,547,1149,458
"190","Morris",2020-08-01,375296,131085,109150,131355,3706,611,1045,70,723,284,692,281
"191","Ocean",2020-08-01,424062,167326,97733,153365,5638,854,1280,133,1245,484,1117,525
"192","Passaic",2020-08-01,318029,120282,128114,64389,5244,642,1000,150,1004,511,1386,551
"193","Salem",2020-08-01,48110,18985,15330,13063,732,85,171,6,81,52,251,86
"194","Somerset",2020-08-01,246772,93223,87096,63914,2539,390,736,47,516,183,452,215
"195","Sussex",2020-08-01,109843,37283,24637,46235,1688,295,464,28,291,143,349,118
